18,San Jose,Allison ,6/24/1986,179-075-129,45-3251383-0,7.45E+11,121-203-336-000,1.15E+11,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union"
19,Rosario,Cydney ,10/6/1996,868-819-912,49-1629900-2,5.79E+11,122-244-511-000,2.65E+11,"93A/21 Berge Points, Tapaz 2180 Quezon"
20,Bautista,Mark ,2/12/1991,683-725-348,49-1647342-5,4.00E+11,273-970-941-000,2.60E+11,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino"
21,Lazaro,Darlene ,11/25/1985,740-721-558,45-5617168-2,6.06E+11,354-650-951-000,1.05E+11,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino"
22,Delos Santos,Kolby ,2/26/1980,739-443-033,52-0109570-6,3.57E+11,187-500-345-000,1.13E+11,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur"
23,Santos,Vella ,12/31/1983,955-879-269,52-9883524-3,5.49E+11,101-558-994-000,3.60E+11,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur"
24,Del Rosario,Tomas,12/18/1978,882-550-989,45-5866331-6,9.54E+11,560-735-732-000,9.13E+11,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque"
25,Tolentino,Jacklyn ,5/19/1984,675-757-366,47-1692793-0,7.54E+11,841-177-857-000,2.11E+11,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao"
26,Gutierrez,Percival ,12/18/1970,512-899-876,40-9504657-8,7.98E+11,502-995-671-000,2.11E+11,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur"
27,Manalaysay,Garfield ,8/28/1986,948-628-136,45-3298166-4,8.11E+11,336-676-445-000,2.11E+11,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur"
28,Villegas,Lizeth ,12/12/1981,332-372-215,40-2400719-4,9.34E+11,210-395-397-000,1.22E+11,"66/77 Mann Views, Luisiana 1263 Dinagat Islands"
29,Ramos,Carol ,8/20/1978,250-700-389,60-1152206-4,3.52E+11,395-032-717-000,2.12E+11,"72/70 Stamm Spurs, Bustos 4550 Iloilo"
30,Maceda,Emelia ,4/14/1973,973-358-041,54-1331005-0,4.65E+11,215-973-013-000,5.15E+11,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija"
31,Aguilar,Delia ,1/27/1989,529-705-439,52-1859253-1,1.36E+11,599-312-588-000,1.10E+11,"95 Cremin Junction, Surallah 2809 Cotabato"
32,Castro,John Rafael,2/9/1992,332-424-955 ,26-7145133-4,6.02E+11,404-768-309-000,6.98E+11,"Hi-way, Yati, Liloan Cebu"
33,Martinez,Carlos Ian,11/16/1990,078-854-208,11-5062972-7,3.81E+11,256-436-296-000,9.93E+11,"Bulala, Camalaniugan"
34,Santos,Beatriz,8/7/1990,526-639-511,20-2987501-5,9.18E+11,911-529-713-000,8.74E+11,"Agapita Building, Metro Manila"
